,Mean,Median,Min,Max,MinIdx,MaxIdx,StdDev,Total Steps
value_x,4.401388888888889,0.0,0.0,107.0,0 days 00:00:00,0 days 12:59:00,13.702436776289668,6338.0
value_y,2.522222222222222,0.0,0.0,98.0,0 days 00:00:00,0 days 19:42:00,9.213297068328824,3632.0
value_x,3.4166666666666665,0.0,0.0,110.0,0 days 00:00:00,0 days 10:59:00,13.041602326551727,4920.0
value_y,3.297222222222222,0.0,0.0,81.0,0 days 00:00:00,0 days 16:05:00,10.772161534902997,4748.0
value_x,2.377083333333333,0.0,0.0,76.0,0 days 00:00:00,0 days 13:58:00,8.404730945039994,3423.0
value_y,2.0305555555555554,0.0,0.0,101.0,0 days 00:00:00,0 days 19:43:00,8.44154389590315,2924.0
value_x,1.8451388888888889,0.0,0.0,80.0,0 days 00:00:00,0 days 12:08:00,7.5531227737944695,2657.0
value_y,2.2444444444444445,0.0,0.0,60.0,0 days 00:00:00,0 days 12:33:00,7.442994176006668,3232.0
value_x,2.372916666666667,0.0,0.0,82.0,0 days 00:00:00,0 days 10:15:00,8.520781273822887,3417.0
value_y,2.3694444444444445,0.0,0.0,107.0,0 days 00:00:00,0 days 16:03:00,10.146647298182527,3412.0
value_x,1.8027777777777778,0.0,0.0,91.0,0 days 00:00:00,0 days 19:19:00,8.457225442676103,2596.0
value_y,4.33125,0.0,0.0,118.0,0 days 00:00:00,0 days 12:18:00,14.053926561883348,6237.0
value_x,3.1055555555555556,0.0,0.0,76.0,0 days 00:00:00,0 days 19:22:00,9.500812135856114,4472.0
value_y,3.170138888888889,0.0,0.0,74.0,0 days 00:00:00,0 days 19:04:00,9.885069780594112,4565.0
value_x,2.7131944444444445,0.0,0.0,117.0,0 days 00:00:00,0 days 11:31:00,11.466013146439623,3907.0
value_y,2.4097222222222223,0.0,0.0,74.0,0 days 00:00:00,0 days 06:58:00,8.482343345866806,3470.0
value_x,2.0506944444444444,0.0,0.0,77.0,0 days 00:00:00,0 days 11:18:00,7.731028217103161,2953.0
value_y,2.3673611111111112,0.0,0.0,100.0,0 days 00:00:00,0 days 18:16:00,9.534862186891718,3409.0
value_x,4.3180555555555555,0.0,0.0,114.0,0 days 00:00:00,0 days 12:12:00,14.594122651000166,6218.0
value_y,2.5506944444444444,0.0,0.0,76.0,0 days 00:00:00,0 days 06:40:00,8.876431431532069,3673.0
value_x,2.772222222222222,0.0,0.0,70.0,0 days 00:00:00,0 days 09:45:00,9.252510839621312,3992.0
value_y,2.7,0.0,0.0,77.0,0 days 00:00:00,0 days 19:03:00,9.116510920796742,3888.0
value_x,3.951388888888889,0.0,0.0,99.0,0 days 00:00:00,0 days 13:39:00,11.884625968634055,5690.0
value_y,3.797222222222222,0.0,0.0,83.0,0 days 00:00:00,0 days 17:51:00,12.103698022904638,5468.0
value_x,2.876388888888889,0.0,0.0,87.0,0 days 00:00:00,0 days 08:26:00,9.737770870706692,4142.0
value_y,4.134722222222222,0.0,0.0,105.0,0 days 00:00:00,0 days 07:29:00,12.70009723165378,5954.0
value_x,3.6909722222222223,0.0,0.0,114.0,0 days 00:00:00,0 days 07:35:00,12.478570446504959,5315.0
value_y,1.5555555555555556,0.0,0.0,85.0,0 days 00:00:00,0 days 07:26:00,6.9152295673473025,2240.0
value_x,2.7881944444444446,0.0,0.0,115.0,0 days 00:00:00,0 days 09:01:00,9.942447285767622,4015.0
value_y,2.3944444444444444,0.0,0.0,75.0,0 days 00:00:00,0 days 10:59:00,8.442667520070383,3448.0
value_x,2.091666666666667,0.0,0.0,76.0,0 days 00:00:00,0 days 07:58:00,8.41322877057754,3012.0
value_y,4.326388888888889,0.0,0.0,105.0,0 days 00:00:00,0 days 10:39:00,13.662175386468801,6230.0
value_x,4.621527777777778,0.0,0.0,96.0,0 days 00:00:00,0 days 12:59:00,12.759025274205051,6655.0
value_y,4.675,0.0,0.0,88.0,0 days 00:00:00,0 days 18:42:00,11.661245307109278,6732.0
value_x,4.839583333333334,0.0,0.0,107.0,0 days 00:00:00,0 days 07:11:00,14.075689957378058,6969.0
value_y,5.003472222222222,0.0,0.0,118.0,0 days 00:00:00,0 days 07:03:00,13.624799126708153,7205.0
value_x,3.1708333333333334,0.0,0.0,99.0,0 days 00:00:00,0 days 07:03:00,9.86179602546164,4566.0
value_y,2.829861111111111,0.0,0.0,79.0,0 days 00:00:00,0 days 16:24:00,8.688626353846917,4075.0
value_x,2.814583333333333,0.0,0.0,88.0,0 days 00:00:00,0 days 14:19:00,10.170181302933488,4053.0
value_y,6.26875,0.0,0.0,123.0,0 days 00:00:00,0 days 20:16:00,17.71767223666117,9027.0
value_x,2.1805555555555554,0.0,0.0,76.0,0 days 00:00:00,0 days 07:40:00,8.560988150132548,3140.0
value_y,3.2090277777777776,0.0,0.0,95.0,0 days 00:00:00,0 days 10:43:00,10.63436425063629,4621.0
value_x,4.761805555555555,0.0,0.0,92.0,0 days 00:00:00,0 days 18:37:00,13.125398814035643,6857.0
value_y,2.338888888888889,0.0,0.0,78.0,0 days 00:00:00,0 days 09:15:00,8.473833419999316,3368.0
value_x,3.390277777777778,0.0,0.0,84.0,0 days 00:00:00,0 days 14:04:00,9.94175755868777,4882.0
value_y,4.3284722222222225,0.0,0.0,111.0,0 days 00:02:00,0 days 18:51:00,13.634299241320347,6233.0
value_x,4.122916666666667,0.0,0.0,80.0,0 days 00:00:00,0 days 17:57:00,11.604594108058526,5937.0
value_y,2.607638888888889,0.0,0.0,80.0,0 days 00:00:00,0 days 06:56:00,8.443628878597597,3755.0
value_x,3.9520833333333334,0.0,0.0,87.0,0 days 00:00:00,0 days 09:57:00,12.000917666730382,5691.0
value_y,5.615277777777778,0.0,0.0,118.0,0 days 00:00:00,0 days 14:08:00,15.815450259595895,8086.0
value_x,1.9159722222222222,0.0,0.0,62.0,0 days 00:00:00,0 days 07:48:00,6.906243594238952,2759.0
value_y,4.872222222222222,0.0,0.0,119.0,0 days 00:00:00,0 days 18:20:00,15.200546991202339,7016.0
value_x,3.53125,0.0,0.0,95.0,0 days 00:00:00,0 days 12:21:00,11.902213158696668,5085.0
value_y,1.5847222222222221,0.0,0.0,94.0,0 days 00:00:00,0 days 08:00:00,9.25342615919806,2282.0
value_x,2.533333333333333,0.0,0.0,80.0,0 days 00:00:00,0 days 10:27:00,9.256757575205011,3648.0
value_y,1.7319444444444445,0.0,0.0,92.0,0 days 00:00:00,0 days 07:33:00,7.413177351195293,2494.0
value_x,3.6083333333333334,0.0,0.0,119.0,0 days 00:00:00,0 days 18:43:00,12.98743445748052,5196.0
value_y,7.348611111111111,0.0,0.0,122.0,0 days 00:00:00,0 days 12:53:00,19.640214117425856,10582.0
value_x,3.9805555555555556,0.0,0.0,116.0,0 days 00:00:00,0 days 19:12:00,12.489813933307488,5732.0
value_y,3.513888888888889,0.0,0.0,114.0,0 days 00:00:00,0 days 12:14:00,12.739047734977646,5060.0
